#timestamp x y z qx qy qz qw id
47.292000 -0.012846 0.020706 -0.004094 0.000096 0.002110 -0.788674 0.614808 1
61.548000 0.004150 0.025499 0.250586 0.003049 0.000645 -0.570441 0.821333 27
62.176000 -0.018538 0.036429 1.422689 0.003802 0.011301 0.018509 0.999758 28
63.100000 -0.001754 0.047974 3.589507 0.004808 0.003875 -0.074651 0.997191 29
64.748000 0.028150 0.070637 4.498338 0.002978 -0.001186 -0.065756 0.997831 30
66.464000 -2.142419 6.901390 4.807734 -0.077493 0.139756 -0.181881 0.970249 31
68.444000 0.462598 15.241528 4.877338 0.112492 -0.127969 -0.032853 0.984830 32
68.972000 0.521466 15.171038 4.903825 0.054371 -0.171449 -0.015071 0.983576 33
69.532000 -0.443450 14.778627 4.936138 0.021406 -0.132639 -0.001408 0.990932 34
70.360000 -2.911191 14.004801 4.966362 0.012517 -0.055314 0.001949 0.998389 35
71.580000 -7.046589 12.537209 4.976690 0.029351 0.007136 -0.000469 0.999544 36
72.736000 -10.340772 10.605854 4.994802 0.044755 0.018976 0.000652 0.998818 37
73.560000 -12.168361 8.794122 5.002859 0.043018 0.023348 0.001189 0.998801 38
74.384000 -13.550836 6.714219 5.002221 0.036436 0.028415 0.001619 0.998931 39
75.408000 -14.671560 3.771971 5.000144 0.027930 0.030991 0.001258 0.999129 40
76.432000 -15.125411 0.616200 5.002028 0.024224 0.035250 0.001408 0.999084 41
77.520000 -14.834002 -2.845498 5.002993 0.010745 0.037616 0.000424 0.999234 42
78.740000 -13.645479 -6.529602 5.020202 0.000200 0.040209 -0.000061 0.999191 43
79.996000 -11.562280 -9.762636 5.031747 -0.007821 0.042132 0.000252 0.999081 44
81.544000 -9.163898 -13.206900 5.013797 -0.039072 -0.036555 -0.002040 0.998565 45
83.824000 -8.990067 -15.608045 4.993584 -0.030407 -0.000231 0.000684 0.999537 46
87.320000 -8.873088 -15.638230 5.003235 -0.001801 -0.001031 0.000172 0.999998 48
88.840000 -8.877611 -15.535636 5.011900 -0.001392 0.000078 0.000087 0.999999 49
90.192000 -8.877864 -15.425982 5.007790 0.000189 -0.000043 0.000116 1.000000 50
91.644000 -7.519032 -14.254044 5.027175 0.060304 0.090328 -0.007826 0.994054 51
92.500000 -5.126550 -14.030307 5.011429 0.054032 0.046277 0.005180 0.997453 52
93.292000 -2.594002 -14.472817 5.008971 0.003349 0.019192 -0.009441 0.999766 53
95.572000 4.361013 -14.507201 5.029214 -0.040233 0.009980 -0.009068 0.999099 54
98.276000 8.180084 -14.590093 5.031670 -0.012777 -0.013424 -0.001917 0.999826 55
100.488000 8.324110 -15.502873 5.039390 -0.015761 -0.004727 -0.010241 0.999812 56
103.756000 8.141646 -15.546929 5.048847 -0.000704 -0.001820 -0.012410 0.999921 58
105.140000 8.028901 -15.533039 5.044487 -0.000860 -0.001279 -0.014146 0.999899 59
107.944000 7.773808 -15.010393 5.069115 -0.099172 0.053403 -0.019710 0.993441 61
110.584000 12.137604 -9.145137 5.089539 -0.027711 -0.008782 -0.017554 0.999423 62
112.400000 14.861263 -4.304450 5.103974 -0.028344 -0.031417 -0.015055 0.998991 63
114.084000 15.539083 0.860725 5.127040 -0.012860 -0.040204 -0.013800 0.999013 64
115.600000 14.572834 5.434805 5.132180 -0.005556 -0.043695 -0.012784 0.998948 65
116.956000 12.476278 9.030394 5.115042 0.005649 -0.039247 -0.010816 0.999155 66
118.308000 9.550373 11.904151 5.082738 0.015585 -0.040126 -0.009448 0.999028 67
119.364000 6.703134 13.524732 5.045590 0.020033 -0.038241 -0.007454 0.999040 68
120.520000 3.363598 14.515112 5.004276 0.027314 -0.041583 -0.005262 0.998748 69
121.540000 0.138668 14.669404 4.964743 0.030149 -0.018657 -0.002330 0.999369 70
122.596000 -3.161966 14.137661 4.923870 0.034173 -0.011890 0.000188 0.999345 71
123.488000 -5.667393 13.140565 4.890387 0.035231 -0.011215 0.002481 0.999313 72
124.380000 -8.011588 11.691409 4.866210 0.035674 -0.002001 0.005799 0.999345 73
125.272000 -9.999440 9.904785 4.843793 0.035058 0.004769 0.007596 0.999345 74
126.260000 -11.781919 7.443782 4.811918 0.029954 0.009461 0.009238 0.999464 75
127.216000 -12.992221 4.797746 4.797149 0.027169 0.015225 0.010514 0.999460 76
128.308000 -13.769855 1.522476 4.782647 0.020515 0.023269 0.010668 0.999462 77
129.396000 -13.754715 -1.756095 4.792526 0.011622 0.023489 0.010471 0.999602 78
130.552000 -12.951740 -5.182256 4.824634 0.008579 0.027683 0.010018 0.999530 79
131.740000 -11.274880 -8.509448 4.843005 -0.006385 0.027809 0.008585 0.999556 80
133.256000 -8.836956 -12.112983 4.901649 -0.006996 -0.054623 0.008971 0.998442 81
134.972000 -8.515884 -14.715510 4.903979 -0.028352 -0.014643 0.006183 0.999472 82
137.152000 -8.322524 -15.554462 4.918310 -0.017820 -0.012156 0.003816 0.999760 83
140.220000 -8.274036 -15.415211 4.910009 0.001100 -0.011595 0.002056 0.999930 85
141.640000 -8.287233 -15.271217 4.910547 0.004538 -0.012543 0.000463 0.999911 86
144.940000 -6.311761 -11.983416 8.093109 -0.293049 0.154761 -0.061962 0.941452 88
149.032000 0.854293 -0.617999 19.375557 0.012875 -0.021618 -0.000359 0.999683 89
149.560000 0.852548 -0.648179 19.705935 0.006447 -0.017315 0.000640 0.999829 90
150.120000 0.854546 -0.670091 19.910778 0.003777 -0.015671 0.001320 0.999869 91
150.648000 0.864550 -0.675062 20.031683 0.003571 -0.015669 0.000875 0.999870 92
151.704000 0.867227 -0.686313 20.173693 0.001678 -0.014145 0.000604 0.999898 94
155.004000 0.871123 -0.590598 20.289171 0.002655 -0.012110 0.000578 0.999923 100
157.776000 0.980637 -0.521523 20.151524 0.019355 0.290806 0.004800 0.956574 105
158.336000 2.334075 -0.569475 19.249443 0.006993 0.089463 0.003806 0.995958 106
158.896000 4.248439 -0.634397 18.371555 0.000412 -0.073228 -0.001239 0.997314 107
159.460000 5.546462 -0.675907 17.524502 -0.000829 -0.103442 0.000385 0.994635 108
159.988000 6.107872 -0.686643 16.731287 -0.000600 -0.079714 0.002994 0.996813 109
160.516000 6.294264 -0.665485 15.928865 0.002155 -0.049194 0.002058 0.998785 110
161.044000 6.334838 -0.645735 15.137441 0.003409 -0.029634 0.000992 0.999555 111
161.572000 6.334193 -0.626552 14.321648 0.003701 -0.019581 0.000849 0.999801 112
162.132000 6.335426 -0.597352 13.513424 0.004969 -0.016151 0.000694 0.999857 113
162.660000 6.342588 -0.561932 12.726373 0.006653 -0.015221 0.000652 0.999862 114
163.188000 6.339802 -0.555436 11.899492 0.004985 -0.013523 0.000722 0.999896 115
